Anode_Name,Volume Score,Vol_Change Score,Cost Score,Potential Score,Lithiated Phase,Density(g/cm3),Features,DOI
Graphite,4.7,97,50,2.5,LiC6,2.25,"가장 보편적인 Anode, 에너지 밀도 상대적으로 낮음",https://doi.org/10.1016/j.ensm.2020.12.027
Si,52.5,20,50,25,"Li4,4Si",2.33,"상대적으로 높은 에너지 밀도, 부피 변화율이 크다.",https://doi.org/10.1002/sstr.202100009
Sn,90.57,35,97.5,30,"Li4,4Sn",7.29,Sn과 Li이 합금-탈 합금화를 반복하면서 생성 상들 간의 큰 부피 변화의 차이,https://doi.org/10.1016/S1369-7021(13)70012-9
Sb,55.3,50,87,45,Li3Sb,6.7,Sn-Sb 복합체로서 높은 수명사이클 대비 용량을 보임,https://doi.org/10.1039/C9TA11782B
Al,33.5,76,99,15,LiAl,2.7,알루미늄 음극 표면에 자발적으로 형성되는 산화 피막이 느린 반응속도를 야기하여 전기화학적 성능을 저해시킴, https://doi.org/10.1002/adma.202102026
Mg,54.4,75,97,5,Li3Mg,1.3,전해질과 반응해 충방전 효율이 떨어질 수 있음,https://doi.org/10.1016/j.jma.2022.09.004
Bi,47,46,98.3,40,Li3Bi,9.78,상대적으로 큰 부피변화율, https://doi.org/10.3390/molecules27227751
Li,48.3,75,98,0,Li,0.53,"표면저항층 증가, 덴드라이트 형성", https://doi.org/10.1002/advs.202101111
Li4Ti5O12,2.2,99,41,80,Li7Ti5O12,3.5,균일성 및 전기 전도성 문제,https://doi.org/10.1002/aenm.201601625
Mg-Si,17.125,62.5,97,25,Li2MgSi,1.99,조성 비율에 따라 성질 달라짐,https://doi.org/10.1007/s40195-020-01095-z
Si-Ge,20.55,37.5,20,17.5,LiSi1-xGex,3.825,높은 사이클 안정성 및 높은 전기 전도도,https://doi.org/10.1007/s40195-020-01095-z
Ca-Si,18.75,25,15,25,CaLiSi2,2.3,환경 친화적 원료로 사용 가능,https://doi.org/10.1021/acsaem.2c01323
Ni-Si,14.75,50,0,25,NiLiSi2,2.5,높은 사이클 안정성 및 환경 친화적,https://doi.org/10.1016/j.mtchem.2023.101570
Ti-Si,14.8,12.5,80,15,LiTixSiy,3,고전압 플라텀 및 높은 사이클 안정성,https://doi.org/10.1016/j.electacta.2014.11.016
SnO2,9.8,35,92.4,80,Li2O,6.7,높은 전기 전도성 및 열 안정성,http://doi.org/10.1007/978-1-4614-4605-7_4
P,32.45,25,70,27.5,LixP,1.82,가격 효율성 및 전기 전도 우수성,https://doi.org/10.1016/j.nanoen.2020.104849
SnSb,11.12,37.5,90,27.5,LixSnSb,6.2,높은 전기전도성,https://doi.org/10.1039/C5TA10568D
